age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,capital_gain_log,capital_loss_log
44,private,masters,14,divorced,exec-managerial,unmarried,white,female,40,united-states,<=50k,0.0,0.0
41,state-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,0.0
29,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,43,united-states,<=50k,0.0,0.0
25,private,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,40,united-states,<=50k,0.0,0.0
47,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,60,honduras,>50k,0.0,7.551186867296149
50,federal-gov,bachelors,13,divorced,exec-managerial,not-in-family,white,male,55,united-states,>50k,0.0,0.0
47,self-emp-inc,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,60,united-states,<=50k,0.0,0.0
43,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,40,united-states,>50k,0.0,0.0
46,private,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,40,mexico,<=50k,0.0,0.0
35,private,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,40,puerto-rico,<=50k,0.0,0.0
41,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,48,united-states,<=50k,0.0,0.0
30,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k,8.519989278718239,0.0
30,private,bachelors,13,married-civ-spouse,sales,husband,white,male,40,united-states,<=50k,7.786551806428712,0.0
48,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k,0.0,0.0
42,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,45,united-states,>50k,0.0,0.0
29,private,some-college,10,divorced,tech-support,not-in-family,white,male,58,united-states,<=50k,0.0,0.0
36,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,0.0
28,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
53,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,40,united-states,>50k,0.0,0.0
49,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k,0.0,0.0
19,private,some-college,10,never-married,prof-specialty,own-child,white,male,32,united-states,<=50k,0.0,0.0
31,private,bachelors,13,separated,sales,own-child,black,female,40,united-states,<=50k,0.0,0.0
29,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,70,united-states,>50k,0.0,0.0
23,private,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
79,private,some-college,10,married-civ-spouse,prof-specialty,other-relative,white,male,20,united-states,<=50k,0.0,0.0
27,private,hs-grad,9,never-married,other-service,own-child,white,male,40,mexico,<=50k,0.0,0.0
40,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,<=50k,0.0,0.0
18,private,11th,7,never-married,other-service,own-child,white,female,22,united-states,<=50k,0.0,0.0
31,local-gov,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,40,united-states,<=50k,0.0,0.0
18,private,hs-grad,9,never-married,sales,not-in-family,white,male,30,united-states,<=50k,0.0,0.0
52,private,bachelors,13,married-civ-spouse,other-service,husband,white,male,40,cuba,<=50k,0.0,0.0
46,private,hs-grad,9,married-civ-spouse,other-service,wife,white,female,40,united-states,<=50k,0.0,0.0
59,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,48,united-states,<=50k,0.0,0.0
44,private,hs-grad,9,divorced,craft-repair,not-in-family,white,female,40,united-states,>50k,9.571156728415465,0.0
53,private,hs-grad,9,divorced,sales,own-child,white,female,35,united-states,<=50k,0.0,0.0
49,local-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,40,united-states,>50k,0.0,0.0
33,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,50,united-states,<=50k,0.0,0.0
30,private,9th,5,never-married,sales,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
43,federal-gov,doctorate,16,never-married,prof-specialty,not-in-family,white,female,50,united-states,>50k,0.0,0.0
57,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k,0.0,0.0
37,private,some-college,10,divorced,craft-repair,unmarried,white,female,40,united-states,<=50k,0.0,0.0
28,private,some-college,10,divorced,machine-op-inspct,unmarried,black,female,25,united-states,<=50k,0.0,0.0
34,local-gov,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,40,united-states,>50k,0.0,0.0
29,local-gov,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,50,united-states,<=50k,0.0,0.0
48,self-emp-not-inc,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k,0.0,7.551186867296149
37,private,some-college,10,married-civ-spouse,sales,husband,white,male,48,united-states,>50k,0.0,0.0
48,private,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,40,england,<=50k,0.0,0.0
32,federal-gov,hs-grad,9,never-married,other-service,own-child,black,male,40,united-states,<=50k,0.0,0.0
76,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0.0,0.0
44,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50k,9.617470759403409,0.0
47,self-emp-not-inc,masters,14,never-married,prof-specialty,not-in-family,white,female,50,united-states,<=50k,0.0,0.0
20,private,some-college,10,never-married,tech-support,own-child,white,female,40,united-states,<=50k,0.0,0.0
29,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
32,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,8.94754601503218,0.0
30,private,11th,7,never-married,handlers-cleaners,own-child,white,male,40,united-states,<=50k,0.0,0.0
31,local-gov,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
42,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k,0.0,0.0
24,private,bachelors,13,never-married,sales,other-relative,white,male,40,united-states,<=50k,0.0,0.0
38,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0.0,0.0
56,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,husband,white,male,50,canada,>50k,0.0,7.543273346705446
28,private,some-college,10,married-civ-spouse,sales,wife,white,female,25,united-states,<=50k,8.310169021981912,0.0
36,private,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,40,united-states,<=50k,0.0,0.0
53,private,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,50,united-states,<=50k,0.0,0.0
56,self-emp-inc,some-college,10,married-civ-spouse,sales,husband,white,male,50,united-states,<=50k,0.0,0.0
49,local-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,40,united-states,>50k,0.0,0.0
55,private,some-college,10,married-civ-spouse,sales,husband,white,male,56,united-states,<=50k,0.0,0.0
22,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,41,united-states,<=50k,0.0,0.0
21,private,some-college,10,never-married,other-service,own-child,white,female,40,united-states,<=50k,0.0,0.0
40,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,<=50k,0.0,0.0
30,private,bachelors,13,never-married,exec-managerial,own-child,black,male,40,germany,<=50k,0.0,0.0
29,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,50,united-states,>50k,0.0,0.0
19,private,some-college,10,never-married,other-service,own-child,black,male,35,united-states,<=50k,0.0,0.0
47,private,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,40,united-states,>50k,0.0,0.0
20,private,some-college,10,never-married,adm-clerical,own-child,white,female,28,united-states,<=50k,0.0,7.450079569807499
31,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,40,united-states,>50k,0.0,0.0
39,private,some-college,10,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
28,private,assoc-acdm,12,never-married,sales,not-in-family,white,female,60,united-states,<=50k,0.0,0.0
24,private,hs-grad,9,never-married,other-service,not-in-family,white,female,40,united-states,<=50k,0.0,7.47477218239787
38,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,35,united-states,<=50k,8.386400901166214,0.0
37,private,bachelors,13,married-civ-spouse,sales,husband,white,male,50,united-states,<=50k,0.0,0.0
46,private,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,36,united-states,<=50k,0.0,0.0
38,federal-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,40,iran,>50k,0.0,0.0
43,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,60,united-states,<=50k,0.0,0.0
27,private,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,35,united-states,<=50k,0.0,0.0
20,private,some-college,10,never-married,sales,own-child,white,male,20,united-states,<=50k,0.0,0.0
49,private,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,40,united-states,>50k,0.0,0.0
61,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,0.0
27,private,some-college,10,never-married,sales,own-child,white,female,40,united-states,<=50k,0.0,0.0
19,private,some-college,10,never-married,other-service,own-child,white,male,30,mexico,<=50k,0.0,0.0
45,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,40,united-states,>50k,0.0,7.355641102974253
70,private,some-college,10,never-married,tech-support,other-relative,white,male,40,united-states,<=50k,0.0,0.0
31,private,hs-grad,9,never-married,transport-moving,unmarried,black,female,30,united-states,<=50k,0.0,0.0
22,private,some-college,10,married-civ-spouse,other-service,husband,white,male,24,united-states,<=50k,0.0,0.0
36,private,hs-grad,9,widowed,other-service,unmarried,white,female,24,united-states,<=50k,0.0,0.0
64,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,7.687080155783135
47,local-gov,some-college,10,divorced,adm-clerical,unmarried,white,female,38,mexico,<=50k,0.0,0.0
34,private,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
33,private,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,40,philippines,<=50k,0.0,0.0
21,private,hs-grad,9,never-married,craft-repair,own-child,white,male,35,united-states,<=50k,0.0,0.0
48,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,46,united-states,<=50k,0.0,0.0
23,private,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
71,self-emp-not-inc,some-college,10,separated,sales,unmarried,black,male,2,united-states,<=50k,0.0,7.504942068396171
29,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,60,united-states,<=50k,0.0,0.0
42,private,bachelors,13,separated,other-service,other-relative,black,male,50,united-states,<=50k,0.0,0.0
25,private,hs-grad,9,never-married,other-service,unmarried,white,female,40,united-states,<=50k,0.0,0.0
44,self-emp-inc,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,40,united-states,<=50k,0.0,0.0
28,private,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,40,england,<=50k,0.0,0.0
45,self-emp-not-inc,masters,14,married-civ-spouse,sales,husband,white,male,40,united-states,>50k,0.0,0.0
36,private,some-college,10,divorced,other-service,unmarried,white,female,40,mexico,<=50k,0.0,0.0
39,federal-gov,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,42,united-states,<=50k,0.0,0.0
46,state-gov,masters,14,widowed,protective-serv,unmarried,white,male,40,united-states,<=50k,0.0,0.0
18,private,11th,7,never-married,handlers-cleaners,own-child,white,male,16,united-states,<=50k,0.0,0.0
66,local-gov,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,20,united-states,<=50k,0.0,0.0
27,private,hs-grad,9,never-married,other-service,not-in-family,white,male,40,united-states,<=50k,0.0,7.591357046698551
28,state-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,40,united-states,<=50k,0.0,0.0
51,private,some-college,10,married-civ-spouse,sales,husband,white,male,40,united-states,>50k,0.0,7.589841512182657
27,private,bachelors,13,never-married,craft-repair,not-in-family,white,male,50,united-states,<=50k,0.0,0.0
28,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0.0,0.0
27,private,hs-grad,9,married-spouse-absent,sales,unmarried,white,female,25,united-states,<=50k,0.0,0.0
21,private,hs-grad,9,never-married,craft-repair,own-child,black,male,40,united-states,<=50k,0.0,0.0
34,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,40,united-states,<=50k,0.0,0.0
18,private,hs-grad,9,never-married,other-service,own-child,white,male,12,united-states,<=50k,0.0,0.0
33,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,65,united-states,<=50k,0.0,0.0
44,local-gov,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,38,united-states,>50k,0.0,0.0
43,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
30,private,some-college,10,never-married,craft-repair,not-in-family,black,male,45,united-states,<=50k,0.0,0.0
40,private,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,40,mexico,>50k,0.0,0.0
37,federal-gov,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,42,united-states,>50k,0.0,0.0
34,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,40,united-states,<=50k,0.0,0.0
41,self-emp-not-inc,bachelors,13,divorced,exec-managerial,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
31,private,masters,14,married-civ-spouse,prof-specialty,wife,white,female,50,united-states,<=50k,0.0,0.0
58,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,1,united-states,>50k,0.0,0.0
38,private,some-college,10,divorced,machine-op-inspct,not-in-family,black,female,28,united-states,<=50k,0.0,0.0
24,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k,0.0,0.0
41,local-gov,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,40,united-states,<=50k,0.0,0.0
47,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,45,united-states,<=50k,0.0,0.0
41,federal-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,24,united-states,<=50k,0.0,0.0
23,private,5th-6th,3,married-civ-spouse,transport-moving,other-relative,white,male,40,mexico,<=50k,0.0,0.0
36,private,some-college,10,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
40,federal-gov,masters,14,never-married,exec-managerial,not-in-family,white,female,55,united-states,>50k,9.552865680310473,0.0
35,private,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,40,united-states,>50k,8.895492631451633,0.0
24,self-emp-not-inc,hs-grad,9,never-married,sales,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
26,private,masters,14,never-married,prof-specialty,not-in-family,white,female,40,united-states,<=50k,0.0,7.537430036586509
51,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k,0.0,0.0
42,local-gov,some-college,10,never-married,prof-specialty,not-in-family,white,female,40,united-states,<=50k,0.0,7.201170883281678
37,state-gov,hs-grad,9,divorced,adm-clerical,unmarried,white,female,35,united-states,<=50k,0.0,0.0
18,private,11th,7,never-married,sales,own-child,white,female,40,united-states,<=50k,0.0,0.0
36,private,bachelors,13,married-civ-spouse,other-service,husband,black,male,36,united-states,>50k,8.895492631451633,0.0
35,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,60,united-states,<=50k,0.0,0.0
58,self-emp-inc,hs-grad,9,married-civ-spouse,sales,wife,white,female,35,united-states,>50k,9.617470759403409,0.0
17,private,11th,7,never-married,sales,own-child,white,female,12,united-states,<=50k,0.0,0.0
44,local-gov,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,40,united-states,<=50k,0.0,0.0
37,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,0.0,0.0
35,private,some-college,10,never-married,sales,not-in-family,amer-indian-eskimo,female,40,united-states,<=50k,0.0,0.0
60,private,hs-grad,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,40,united-states,<=50k,0.0,0.0
54,self-emp-inc,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,>50k,0.0,0.0
37,private,bachelors,13,never-married,exec-managerial,not-in-family,black,male,60,united-states,>50k,0.0,0.0
50,private,assoc-acdm,12,divorced,sales,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
38,private,bachelors,13,married-civ-spouse,sales,husband,white,male,50,poland,<=50k,0.0,0.0
45,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,55,united-states,<=50k,0.0,0.0
25,private,10th,6,never-married,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
31,private,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k,0.0,0.0
90,private,hs-grad,9,never-married,other-service,not-in-family,black,male,40,united-states,<=50k,0.0,7.699389406256737
54,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,20,united-states,<=50k,0.0,0.0
53,local-gov,preschool,1,never-married,machine-op-inspct,not-in-family,white,female,35,united-states,<=50k,0.0,0.0
18,private,hs-grad,9,never-married,sales,own-child,white,female,40,united-states,<=50k,0.0,0.0
66,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,50,united-states,<=50k,7.251344983372214,0.0
75,private,assoc-voc,11,widowed,adm-clerical,not-in-family,white,female,20,columbia,<=50k,0.0,0.0
65,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
35,private,11th,7,separated,transport-moving,not-in-family,black,male,40,united-states,<=50k,8.209308411646937,0.0
41,private,hs-grad,9,divorced,sales,unmarried,black,female,38,united-states,<=50k,0.0,0.0
25,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,42,united-states,<=50k,0.0,0.0
33,private,some-college,10,divorced,craft-repair,other-relative,other,female,40,united-states,<=50k,0.0,0.0
28,private,prof-school,15,never-married,prof-specialty,not-in-family,white,male,55,united-states,>50k,0.0,0.0
59,state-gov,hs-grad,9,married-civ-spouse,other-service,husband,white,male,40,united-states,<=50k,0.0,0.0
40,state-gov,some-college,10,never-married,adm-clerical,not-in-family,white,female,38,united-states,<=50k,0.0,0.0
41,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,iran,>50k,0.0,0.0
38,local-gov,masters,14,married-civ-spouse,exec-managerial,husband,white,male,70,united-states,>50k,0.0,0.0
23,private,hs-grad,9,never-married,transport-moving,own-child,white,male,40,united-states,<=50k,0.0,0.0
40,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0.0,0.0
41,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,wife,white,female,20,united-states,<=50k,0.0,0.0
24,state-gov,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,50,united-states,<=50k,0.0,0.0
38,private,some-college,10,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,7.462789157412448
58,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,45,united-states,>50k,0.0,0.0
32,private,hs-grad,9,never-married,other-service,not-in-family,white,female,34,united-states,<=50k,0.0,0.0
40,private,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,60,united-states,>50k,0.0,7.589841512182657
41,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,40,united-states,>50k,0.0,0.0
42,private,bachelors,13,married-civ-spouse,adm-clerical,wife,black,female,40,united-states,<=50k,0.0,0.0
59,local-gov,10th,6,widowed,other-service,unmarried,black,female,30,united-states,<=50k,0.0,0.0
19,local-gov,some-college,10,never-married,adm-clerical,own-child,white,male,40,united-states,<=50k,0.0,0.0
58,private,some-college,10,never-married,transport-moving,not-in-family,white,male,20,united-states,<=50k,0.0,0.0
42,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,40,cambodia,>50k,0.0,0.0
20,private,hs-grad,9,never-married,other-service,own-child,white,female,40,united-states,<=50k,0.0,0.0
32,private,hs-grad,9,separated,other-service,not-in-family,white,female,30,united-states,<=50k,0.0,0.0
45,private,assoc-voc,11,widowed,exec-managerial,not-in-family,white,female,45,united-states,<=50k,0.0,0.0
50,private,7th-8th,4,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
36,private,bachelors,13,divorced,prof-specialty,own-child,white,female,40,united-states,<=50k,0.0,0.0
45,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,60,united-states,<=50k,0.0,0.0
17,private,11th,7,never-married,other-service,own-child,white,male,12,united-states,<=50k,0.0,0.0
59,private,some-college,10,married-civ-spouse,sales,husband,white,male,40,united-states,<=50k,8.310169021981912,0.0
26,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,0.0
37,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,75,thailand,>50k,0.0,0.0
64,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0.0,0.0
33,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,45,united-states,<=50k,0.0,0.0
33,private,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,40,united-states,>50k,0.0,0.0
61,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0.0,0.0
17,private,9th,5,never-married,other-service,own-child,white,male,24,united-states,<=50k,6.962243464266207,0.0
50,self-emp-not-inc,masters,14,married-civ-spouse,farming-fishing,husband,white,male,98,united-states,<=50k,7.786551806428712,0.0
27,local-gov,masters,14,never-married,prof-specialty,own-child,white,male,35,united-states,<=50k,0.0,0.0
30,private,hs-grad,9,divorced,prof-specialty,own-child,white,female,40,united-states,<=50k,0.0,0.0
43,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,black,male,40,united-states,<=50k,0.0,0.0
44,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,8.895492631451633,0.0
35,private,some-college,10,never-married,exec-managerial,not-in-family,white,female,40,united-states,<=50k,0.0,0.0
25,private,some-college,10,never-married,tech-support,own-child,white,female,40,united-states,<=50k,0.0,0.0
24,private,some-college,10,married-civ-spouse,machine-op-inspct,wife,white,female,48,united-states,>50k,8.895492631451633,0.0
22,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,15,germany,<=50k,0.0,0.0
42,local-gov,some-college,10,married-civ-spouse,craft-repair,husband,white,male,40,united-states,>50k,8.552367266423891,0.0
34,private,assoc-acdm,12,divorced,sales,unmarried,black,female,45,united-states,<=50k,0.0,0.0
60,private,bachelors,13,divorced,prof-specialty,not-in-family,white,female,42,united-states,<=50k,0.0,0.0
